Temperature,Humidity,Weather,Season,Crop,Yield,Precipitation
25,44,Cloudy,Spring,Corn,76.01312873055417,37.454011884736246
29,53,Cloudy,Winter,Barley,110.68904869313693,95.07143064099162
27,76,Sunny,Summer,Corn,76.09593744179382,73.1993941811405
28,88,Rainy,Spring,Soybean,61.60975964259747,59.86584841970366
23,52,Rainy,Winter,Rice,91.31310405299766,15.601864044243651
27,68,Rainy,Autumn,Wheat,99.5167357737915,15.599452033620265
23,69,Cloudy,Summer,Corn,62.87575107783695,5.8083612168199465
32,68,Rainy,Winter,Wheat,92.68833858081967,86.61761457749351
34,52,Rainy,Spring,Rice,104.14148257047924,60.11150117432088
22,87,Rainy,Summer,Wheat,63.32023744262054,70.80725777960456
30,62,Cloudy,Autumn,Wheat,98.24454755630158,2.0584494295802447
25,82,Sunny,Spring,Barley,74.49452099647444,96.99098521619943
26.36089122187865,74.97396376587523,Rainy,Spring,Corn,77.9339838973116,83.24426408004217
33.51193276585322,54.87184754275668,Sunny,Spring,Soybean,118.66576965281652,21.233911067827616
16.42072116395774,80.68989098512387,Rainy,Autumn,Wheat,53.4010535942594,18.182496720710063
16.742585994030815,59.82528704234923,Rainy,Summer,Wheat,70.43054641025547,18.34045098534338
15.404367948806517,84.05515985555809,Cloudy,Winter,Soybean,49.10955607832975,30.42422429595377
31.65239691095876,69.06364363179293,Sunny,Spring,Corn,92.2506337224555,52.475643163223786
30.56313501899701,84.08676809274263,Cloudy,Spring,Rice,72.2434259865056,43.194501864211574
32.40024296493638,74.6265795038883,Sunny,Spring,Barley,92.87827166096535,29.122914019804192
34.57236684465528,76.26271399098204,Cloudy,Spring,Soybean,92.49079237633632,61.18528947223795
30.98317128433447,65.06621909633512,Sunny,Summer,Wheat,106.06908719637926,13.949386065204184
24.22958724505864,87.8041817361612,Cloudy,Winter,Rice,65.77845924332522,29.214464853521815
30.61058352572911,72.19950996148188,Sunny,Autumn,Barley,88.61331993394384,36.63618432936917
17.365488517378665,61.192752427908985,Sunny,Autumn,Soybean,60.40050267379472,45.606998421703594
27.79842042655048,70.31966070639622,Sunny,Summer,Wheat,83.49489140113421,78.51759613930136
17.867065748180927,40.95965991546667,Sunny,Spring,Corn,94.28145724100276,19.967378215835975
33.893378340991674,55.078740833727466,Rainy,Summer,Soybean,106.20603883270684,51.42344384136116
25.436966435001438,73.00867687463426,Cloudy,Summer,Wheat,79.30895406498115,59.24145688620425
23.29323879981047,54.5038803605222,Sunny,Summer,Rice,99.33948500270633,4.645041271999773
20.291112242092535,70.90077144994208,Sunny,Winter,Soybean,68.79186213224885,60.75448519014384
30.484673788684333,61.43843504728831,Rainy,Winter,Barley,98.6813782897124,17.052412368729154
24.12300664433097,46.77370321112251,Cloudy,Summer,Corn,104.22294589224887,6.505159298527952
26.36867897737297,54.91411629780154,Rainy,Summer,Soybean,108.3046454497166,94.88855372533332
15.375796008727104,68.49824553506325,Sunny,Winter,Soybean,57.86933194097345,96.56320330745594
27.352709941517546,69.54363806240866,Sunny,Summer,Corn,82.99682261188214,80.83973481164611
27.241914454448427,68.71626244247894,Sunny,Winter,Rice,81.5380720677773,30.46137691733707
27.338679937495137,72.66004099285668,Sunny,Winter,Barley,82.83598257843288,9.767211400638388
33.874961570292484,72.60516350008444,Sunny,Autumn,Wheat,96.6367533831648,68.42330265121569
28.636405982069668,61.57092177169869,Rainy,Autumn,Rice,96.89023807802968,44.01524937396013
22.19015801147572,84.82732979255314,Sunny,Winter,Wheat,58.773962171309975,12.203823484477883
23.740639075986827,58.378093502394826,Cloudy,Summer,Barley,84.80562514531965,49.51769101112702
28.9526239185453,61.79324626328134,Cloudy,Summer,Rice,108.7570635801735,3.4388521115218396
16.204509432585397,84.59616775078361,Cloudy,Summer,Soybean,43.59042643680897,90.9320402078782
28.335334308913357,80.30969945230429,Sunny,Autumn,Rice,80.81427942870404,25.87799816000169
28.41275739236319,75.19442917701832,Sunny,Spring,Wheat,85.49110440448545,66.2522284353982
19.207651221476816,45.01134436561506,Cloudy,Winter,Soybean,93.50552629807972,31.171107608941096
17.578525953097067,85.97413068723367,Sunny,Spring,Corn,41.26667052713577,52.00680211778108
21.30856701848368,75.71206497745557,Cloudy,Spring,Rice,67.28229232264695,54.67102793432797
22.274215418852453,89.94235032839333,Cloudy,Summer,Rice,57.5666480307892,18.485445552552704
26.403935408357597,47.472415232899685,Sunny,Spring,Soybean,106.53937006480756,96.95846277645586
23.772030269246407,83.4063028684107,Rainy,Summer,Rice,60.1550219237328,77.51328233611146
34.767476761184525,48.12464673381874,Rainy,Spring,Soybean,121.103328712879,93.9498941564189
17.04089621496056,70.77797821419222,Rainy,Winter,Corn,63.62931214205168,89.48273504276489
19.177535121896696,46.19099914247207,Sunny,Autumn,Rice,93.4073201085913,59.78999788110851
18.226190357699924,82.40041146611172,Sunny,Autumn,Wheat,50.278316385149886,92.18742350231169
28.062166509307968,80.36594793625054,Rainy,Summer,Rice,84.25554181668853,8.84925020519195
20.06583205079564,68.45503693072966,Sunny,Spring,Soybean,69.71289392771487,19.59828624191452
24.326215457126125,60.35916486129999,Sunny,Spring,Soybean,83.9807900858934,4.522728891053807
19.888511840032056,43.4583497727569,Rainy,Spring,Wheat,101.73095364361976,32.53303307632643
18.179391672910395,74.87143865722818,Cloudy,Spring,Wheat,60.73843360303476,38.8677289689482
17.207502823286102,62.67713413390344,Cloudy,Spring,Soybean,66.66390978544759,27.134903177389592
28.12659178930547,76.10277997351739,Sunny,Winter,Soybean,83.5951670380792,82.87375091519293
17.763659026972277,83.31911629643146,Cloudy,Autumn,Rice,40.50266014261869,35.67533266935893
18.93164723360107,88.77607525014429,Rainy,Summer,Soybean,49.71792067159416,28.093450968738075
22.37450341321928,82.79016711963055,Rainy,Spring,Wheat,67.96353517728267,54.26960831582485
31.419864596958703,40.585704209250096,Cloudy,Autumn,Rice,127.06900954146928,14.092422497476264
16.942025515861225,57.99890322391819,Rainy,Winter,Soybean,83.83547956043415,80.21969807540397
